Model,Class,Average Precision,ROC-AUC,MCC-F1 summary,Average Precision sem,ROC-AUC sem,MCC-F1 summary sem
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Protists_|_isTPS,0.7664033970353572,0.9948424903223171,0.42077626911286736,,,
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Plants_|_isTPS,0.9977995824930084,0.9997574550907956,0.6019627902430056,0.0014512770343326755,0.00018860069248106896,0.003071244709347086
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,Animals_|_isTPS,0.7566646588805488,0.9955965118368184,0.42738009624500906,0.04997254797713895,0.002637658750713879,0.03570083476822298
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Archaea_|_isTPS,0.5680687830687831,0.9986641618238145,0.3673090431544992,,,
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Fungi_|_isTPS,0.9621035737437046,0.9988670664601902,0.5603465502182493,0.029345743531167267,0.0013420508527118714,0.01934655233210306
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Bacteria_|_isTPS,0.9558657344163402,0.9992541411966842,0.5268720675250946,0.029679264780288324,0.0008989675041099388,0.02321042791133958
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Protists_|_isTPS,0.8282754718048835,0.9983248534031082,0.44644801435493103,,,
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Plants_|_isTPS,0.9990333417667401,0.9999026839427779,0.6030569259421679,0.001341171695331796,0.0001474263242564145,0.003030242301306668
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,Animals_|_isTPS,0.8447960967244855,0.9939450725575103,0.45823872113241404,0.06858385111403234,0.010309773218217334,0.018474028186958057
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Archaea_|_isTPS,0.7259946402803545,0.9977957583502005,0.36972328338241917,,,
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Fungi_|_isTPS,0.9640002693264019,0.9988874778229269,0.5605724653409395,0.03193766404200381,0.0012465599606836235,0.01857220400287331
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Bacteria_|_isTPS,0.9535172956131193,0.9987638680879994,0.5258690065565679,0.03673688081520036,0.0014977927607215682,0.026349806286874354
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Protists_|_isTPS,0.8518021065434123,0.9973432745814301,0.4469630539946127,,,
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Plants_|_isTPS,0.9987244455251926,0.9998531587260338,0.6038968507711894,0.0016706936536731345,0.00021384678381415243,0.002332820939764791
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,Animals_|_isTPS,0.8815141929009205,0.9981182219933176,0.464226945407091,0.049041081447130735,0.0019516466708084895,0.0206224504031706
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,Archaea_|_isTPS,0.35046893667861406,0.9953248171351042,0.33699568131579277,,,
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,Fungi_|_isTPS,0.9557088535169663,0.9984313616110427,0.5553947692587832,0.022590153367181277,0.0014896483495346116,0.012842324707154813
