Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions_global_tuning,0.7969970023485391,0.7663537873569967,0.8276402173400815,0.9726123249201976,0.9619001710210999,0.9833244788192952,0.47564915595150375,0.4630484370248658,0.4882498748781417
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,0.8494753784326428,0.8174316275238251,0.8815191293414604,0.9901576420075905,0.985894219483671,0.99442106453151,0.48700486253647046,0.4744822998264818,0.4995274252464591
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions,0.7852934715225324,0.7555359199921179,0.8150510230529469,0.9563295020956256,0.9454063420033029,0.9672526621879484,0.47222623973046557,0.4588294812003274,0.48562299826060373
PlmDomainsLogisticRegression__esm-2_with_minor_reactions,0.7999239983296068,0.7678585193074497,0.8319894773517639,0.9711357380715928,0.9624405945255624,0.9798308816176232,0.4773808688465628,0.4642141207150613,0.49054761697806426
DomainsRandomForest__with_minor_reactions_global_tuning,0.8036654634779864,0.7618239639993949,0.8455069629565779,0.9409374484394563,0.9274486320528964,0.9544262648260161,0.5924627504364472,0.5733148531409935,0.611610647731901
DomainsRandomForest__with_minor_reactions,0.793754167568401,0.7516376575642055,0.8358706775725965,0.9367529782990254,0.9234847857925482,0.9500211708055025,0.5895142773075773,0.5708552831417198,0.6081732714734348
HMM__with_minor_reactions,0.4724831621648551,0.4334354116378729,0.5115309126918373,0.9701444975529245,0.9638333872308237,0.9764556078750254,0.47788788061456416,0.45298080438793836,0.5027949568411899
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,0.8832440811868391,0.8468693397787334,0.9196188225949448,0.9938876191962346,0.9906473595938389,0.9971278787986303,0.5786432895682517,0.5592934753228346,0.5979931038136689
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,0.8609480869253082,0.827399516229431,0.8944966576211855,0.9925657850500407,0.9895070403090058,0.9956245297910755,0.5396643650413266,0.5234677603481909,0.5558609697344624
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.8981128094825869,0.8742636989208356,0.9219619200443382,0.9934740396890874,0.990236881097207,0.9967111982809679,0.5467347085406904,0.5279987410632119,0.5654706760181689
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,0.8909596901606238,0.8634996348130212,0.9184197455082265,0.9940181775645315,0.9912227019802262,0.9968136531488367,0.5781887551932662,0.561111844864976,0.5952656655215564
PlmRandomForest__esm-2_with_minor_reactions_global_tuning,0.8823697678590062,0.8487645984921383,0.9159749372258742,0.9942680535266052,0.9912498615318138,0.9972862455213966,0.5723449647485529,0.55240563297154,0.5922842965255658
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8816912051569203,0.8509395619278842,0.9124428483859565,0.9931613050727812,0.9902934992266218,0.9960291109189406,0.5480864404480983,0.5277915267877696,0.5683813541084269
PlmDomainsMLP__ankh_base_with_minor_reactions,0.8431856702336016,0.807228546515157,0.8791427939520462,0.9933173695360898,0.9902801600646843,0.9963545790074954,0.4853418390990141,0.4723402228558255,0.49834345534220276
PlmDomainsMLP__esm-1v_with_minor_reactions,0.8494805181461929,0.8063396876331659,0.8926213486592198,0.9923017375886929,0.9888653837393179,0.9957380914380679,0.48929957493500903,0.4769734393894688,0.5016257104805493
PlmDomainsMLP__tps_ankh_base_with_minor_reactions,0.8431856702336016,0.807228546515157,0.8791427939520462,0.9933173695360898,0.9902801600646843,0.9963545790074954,0.4853418390990141,0.4723402228558255,0.49834345534220276
PlmDomainsMLP__tps_esm-1v_with_minor_reactions,0.8850678907222777,0.8638093254113803,0.906326456033175,0.9939210871622794,0.9919605766412408,0.9958815976833181,0.4920986458855644,0.48029341845580464,0.5039038733153242
PlmDomainsMLP__tps_esm-1v_with_minor_reactions_global_tuning,0.8813531894341623,0.8577949640067206,0.904911414861604,0.994433841343704,0.9922279654167572,0.9966397172706509,0.4921953298747061,0.48111929750814136,0.5032713622412709
PlmDomainsMLP__esm-1v_with_minor_reactions_global_tuning,0.8421447725238109,,,0.9925933613648901,,,0.4918551862696632,,
