classifier_a,classifier_b,class,metric,ap_type,value
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GPP,ap,pooled_oof,0.025385539112258493
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GPP,ap,pooled_oof,0.027599943414614025
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,GPP,roc_auc,pooled_oof,0.000623210957363618
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,GPP,roc_auc,pooled_oof,0.00038386401700496453
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,GPP,roc_auc,pooled_oof,1.514854052864223e-06
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,GPP,roc_auc,pooled_oof,0.000623210957363618
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,GPP,roc_auc,pooled_oof,0.0015757511858277562
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,IDS,ap,pooled_oof,0.007689495660940682
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,IDS,ap,pooled_oof,0.008219613471726617
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,IDS,ap,pooled_oof,0.0020581264009567057
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,IDS,ap,pooled_oof,0.007689495660940682
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,IDS,ap,pooled_oof,0.008377813939992373
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,IDS,roc_auc,pooled_oof,0.00010266874570874496
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,IDS,roc_auc,pooled_oof,0.00011648953840037723
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,IDS,roc_auc,pooled_oof,2.1718388515279408e-05
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,IDS,roc_auc,pooled_oof,0.00010266874570874496
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,IDS,roc_auc,pooled_oof,0.00011254074048838714
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,TPS,ap,pooled_oof,6.941959606243664e-05
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,TPS,ap,pooled_oof,3.754781508602534e-05
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,TPS,ap,pooled_oof,-0.00010806001373842022
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,TPS,ap,pooled_oof,6.941959606243664e-05
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,TPS,ap,pooled_oof,0.0002061971654629957
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,TPS,roc_auc,pooled_oof,6.924658457085897e-06
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,TPS,roc_auc,pooled_oof,2.281989718855293e-06
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,TPS,roc_auc,pooled_oof,-1.6367374534587142e-05
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,TPS,roc_auc,pooled_oof,6.924658457085897e-06
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,TPS,roc_auc,pooled_oof,2.6439605017580803e-05
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,Substrate_mAP,ap,pooled_oof,0.021326927861514328
PLM_Domains_AnkhLarge,PLM_Domains_AnkhBase,Substrate_mAP,roc_auc,pooled_oof,-0.002169791771053392
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,Substrate_mAP,ap,pooled_oof,0.01477129332339798
PLM_Domains_AnkhLarge,PLM_Domains_Esm1v,Substrate_mAP,roc_auc,pooled_oof,0.0007394998035202133
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,Substrate_mAP,ap,pooled_oof,0.007737218903948476
PLM_Domains_AnkhLarge,PLM_Domains_Esm2,Substrate_mAP,roc_auc,pooled_oof,-0.0010927546161909468
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,Substrate_mAP,ap,pooled_oof,0.021326927861514328
PLM_Domains_AnkhLarge,PLM_Domains_TpsAnkhBase,Substrate_mAP,roc_auc,pooled_oof,-0.002169791771053392
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,Substrate_mAP,ap,pooled_oof,0.023719268697089638
PLM_Domains_AnkhLarge,PLM_Domains_TpsEsm1vSubseq,Substrate_mAP,roc_auc,pooled_oof,-1.4752168940590504e-05
