classifier,ap_type,metric,category,value,class,category_name
BLAST,pooled_oof,roc_auc,Bacteria,0.6665512973800684,GFPP,Kingdom
BLAST,pooled_oof,ap,Fungi,0.8502606806552115,GFPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9850074492276327,GFPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.003500583430571762,GFPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.4376463700234192,GFPP,Kingdom
BLAST,pooled_oof,ap,Animals,0.42847838862467713,GGPP,Kingdom
BLAST,pooled_oof,roc_auc,Animals,0.8789963272924318,GGPP,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.6722057653977604,GGPP,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,0.915868972445465,GGPP,Kingdom
BLAST,pooled_oof,ap,Fungi,0.41950244568212336,GGPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9179745427582797,GGPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.6514669288964611,GGPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.947243896786156,GGPP,Kingdom
BLAST,pooled_oof,ap,Protists,0.08063492063492063,GGPP,Kingdom
BLAST,pooled_oof,roc_auc,Protists,0.80835734870317,GGPP,Kingdom
BLAST,pooled_oof,ap,Animals,0.07504801768500399,GPP,Kingdom
BLAST,pooled_oof,roc_auc,Animals,0.5921994884910485,GPP,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.0011307953260459858,GPP,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,0.4999056603773585,GPP,Kingdom
BLAST,pooled_oof,ap,Fungi,0.004103967168262654,GPP,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.4945054945054945,GPP,Kingdom
BLAST,pooled_oof,ap,Plants,0.6567942556745233,GPP,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9304187387578036,GPP,Kingdom
BLAST,pooled_oof,ap,Protists,0.07925925925925927,GPP,Kingdom
BLAST,pooled_oof,roc_auc,Protists,0.6044314108830239,GPP,Kingdom
BLAST,pooled_oof,ap,Viruses,0.16666666666666666,GPP,Kingdom
BLAST,pooled_oof,roc_auc,Viruses,0.5,GPP,Kingdom
BLAST,pooled_oof,ap,Animals,0.8491488606461869,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Animals,0.9991651205936919,IDS,Kingdom
BLAST,pooled_oof,ap,Archaea,1.0,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Archaea,1.0,IDS,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.9710304413413291,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,0.9999159522608843,IDS,Kingdom
BLAST,pooled_oof,ap,Fungi,0.9951000072331095,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9996447908404318,IDS,Kingdom
BLAST,pooled_oof,ap,Plants,0.9965517241379311,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9999693031822368,IDS,Kingdom
BLAST,pooled_oof,ap,Protists,1.0,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Protists,1.0,IDS,Kingdom
BLAST,pooled_oof,ap,Viruses,1.0,IDS,Kingdom
BLAST,pooled_oof,roc_auc,Viruses,1.0,IDS,Kingdom
BLAST,pooled_oof,ap,Animals,0.7454922103765751,TPS,Kingdom
BLAST,pooled_oof,roc_auc,Animals,0.9112898465171193,TPS,Kingdom
BLAST,pooled_oof,ap,Bacteria,0.9681049136895635,TPS,Kingdom
BLAST,pooled_oof,roc_auc,Bacteria,0.9836950219811246,TPS,Kingdom
BLAST,pooled_oof,ap,Fungi,0.9806089580149406,TPS,Kingdom
BLAST,pooled_oof,roc_auc,Fungi,0.9949467926996016,TPS,Kingdom
BLAST,pooled_oof,ap,Plants,0.9999647713661665,TPS,Kingdom
BLAST,pooled_oof,roc_auc,Plants,0.9999679714332443,TPS,Kingdom
BLAST,pooled_oof,ap,Protists,1.0,TPS,Kingdom
BLAST,pooled_oof,roc_auc,Protists,1.0,TPS,Kingdom
BLAST,pooled_oof,ap,Viruses,1.0,TPS,Kingdom
BLAST,pooled_oof,roc_auc,Viruses,1.0,TPS,Kingdom
HMM,pooled_oof,ap,Animals,1.0,2xFPP,Kingdom
HMM,pooled_oof,roc_auc,Animals,1.0,2xFPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.3333333333333333,2xFPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.999277138726507,2xFPP,Kingdom
HMM,pooled_oof,ap,Fungi,1.0,2xFPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,1.0,2xFPP,Kingdom
HMM,pooled_oof,ap,Plants,0.9,2xFPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.9997067448680351,2xFPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.5682539682539682,2xGGPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.9996227126957178,2xGGPP,Kingdom
HMM,pooled_oof,ap,Fungi,0.25,2xGGPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.997945205479452,2xGGPP,Kingdom
HMM,pooled_oof,ap,Plants,0.8196969696969698,2xGGPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.9993544600938966,2xGGPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.0013192612137203166,CPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.5,CPP,Kingdom
HMM,pooled_oof,ap,Fungi,0.7142857142857143,CPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.9993136582017844,CPP,Kingdom
HMM,pooled_oof,ap,Plants,0.6337198766577241,CPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.9246547704447632,CPP,Kingdom
HMM,pooled_oof,ap,Animals,1.0,EDSQ,Kingdom
HMM,pooled_oof,roc_auc,Animals,1.0,EDSQ,Kingdom
HMM,pooled_oof,ap,Fungi,0.8756839945280438,EDSQ,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.9375,EDSQ,Kingdom
HMM,pooled_oof,ap,Plants,0.9743589743589743,EDSQ,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.9993894993894994,EDSQ,Kingdom
HMM,pooled_oof,ap,Protists,1.0,EDSQ,Kingdom
HMM,pooled_oof,roc_auc,Protists,1.0,EDSQ,Kingdom
HMM,pooled_oof,ap,Animals,0.3153026577684112,FPP,Kingdom
HMM,pooled_oof,roc_auc,Animals,0.699229188078109,FPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.40497694917219984,FPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.9328404336249524,FPP,Kingdom
HMM,pooled_oof,ap,Fungi,0.8036289834271491,FPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.9008930756055787,FPP,Kingdom
HMM,pooled_oof,ap,Plants,0.5203956381579241,FPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.8592144423558896,FPP,Kingdom
HMM,pooled_oof,ap,Protists,0.5101960784313726,FPP,Kingdom
HMM,pooled_oof,roc_auc,Protists,0.7911146440558205,FPP,Kingdom
HMM,pooled_oof,ap,Viruses,0.16666666666666666,FPP,Kingdom
HMM,pooled_oof,roc_auc,Viruses,0.5,FPP,Kingdom
HMM,pooled_oof,ap,Animals,0.0005073566717402334,GFPP,Kingdom
HMM,pooled_oof,roc_auc,Animals,0.5,GFPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.0016961929890689784,GFPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.5,GFPP,Kingdom
HMM,pooled_oof,ap,Fungi,0.6875302784811764,GFPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.9190464988630127,GFPP,Kingdom
HMM,pooled_oof,ap,Plants,0.003500583430571762,GFPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.5,GFPP,Kingdom
HMM,pooled_oof,ap,Animals,0.008625063419583967,GGPP,Kingdom
HMM,pooled_oof,roc_auc,Animals,0.5,GGPP,Kingdom
HMM,pooled_oof,ap,Bacteria,0.015077271013946476,GGPP,Kingdom
HMM,pooled_oof,roc_auc,Bacteria,0.5,GGPP,Kingdom
HMM,pooled_oof,ap,Fungi,0.10153518771849826,GGPP,Kingdom
HMM,pooled_oof,roc_auc,Fungi,0.5721288515406162,GGPP,Kingdom
HMM,pooled_oof,ap,Plants,0.6140731788631439,GGPP,Kingdom
HMM,pooled_oof,roc_auc,Plants,0.8979063658838072,GGPP,Kingdom
HMM,pooled_oof,ap,Protists,0.008571428571428572,GGPP,Kingdom
HMM,pooled_oof,roc_auc,Protists,0.5,GGPP,Kingdom
HMM,pooled_oof,ap,Animals,0.008117706747843734,GPP,Kingdom
