classifier,class,metric,ap_type,point,ci_low,ci_high,method,ci_method
PLM_Domains,FPP,roc_auc,pooled_oof,0.9936756561254201,0.9876506266869375,0.9962347970735623,bca,bca
PLM_Domains,GFPP,ap,pooled_oof,0.6656256983047495,0.4456714290133117,0.8324693731795165,bca,bca
PLM_Domains,GFPP,roc_auc,pooled_oof,0.9017878749675768,0.6274545228341999,0.9974698680180974,bca,bca
PLM_Domains,GGPP,ap,pooled_oof,0.7557515894000617,0.6331678037630162,0.8743993196207592,bca,bca
PLM_Domains,GGPP,roc_auc,pooled_oof,0.9857029713786324,0.9704262098195741,0.9924976970110523,bca,bca
PLM_Domains,GPP,ap,pooled_oof,0.6987817143687776,0.48926648240474835,0.8679293749534523,bca,bca
PLM_Domains,GPP,roc_auc,pooled_oof,0.9879105557454173,0.9787563870863929,0.9931414810687119,bca,bca
PLM_Domains,IDS,ap,pooled_oof,0.9906933864871971,0.9804545274216038,0.9962924789385507,bca,bca
PLM_Domains,IDS,roc_auc,pooled_oof,0.9998672216702131,0.999696434511144,0.9999513911370335,bca,bca
PLM_Domains,Overall_mAP,ap,pooled_oof,0.8483590444071616,0.8026811770422563,0.8894554393803606,bca,bca
PLM_Domains,Overall_mAP,roc_auc,pooled_oof,0.9863992122874257,0.9589956014803299,0.9963727935715705,bca,bca
PLM_Domains,Substrate_mAP,ap,pooled_oof,0.8116557524927933,0.7546820087952654,0.8627828501107287,bca,bca
PLM_Domains,Substrate_mAP,roc_auc,pooled_oof,0.9830217012351429,0.948775496319734,0.9954865313740157,bca,bca
PLM_Domains,TPS,ap,pooled_oof,0.9996510376420724,0.998755278681756,0.9998947895033095,bca,bca
PLM_Domains,TPS,roc_auc,pooled_oof,0.9999512913228994,0.9998172623060171,0.9999851319798481,bca,bca
SUPFAM,TPS,ap,pooled_oof,0.9305277218051777,0.8650433786065791,0.9549729228887773,bca,bca
SUPFAM,TPS,roc_auc,pooled_oof,0.9810592492663011,0.973195061395139,0.9873635824352367,bca,bca
