classifier,class,metric,ap_type,category_name,category,point,ci_low,ci_high,ci_method
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,di,0.591226836629321,0.45321379366220127,0.7043635090463891,percentile
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,mono,0.5507799558666894,0.2785485732728364,0.7300801154797021,percentile
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,phytoene,0.950085730214757,0.6667520426392772,1.0,percentile
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,sesq,0.7758074807060581,0.6679101547570155,0.8573793154106937,percentile
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,sester,0.6373806031463491,0.4341163307088209,0.8017339146265792,percentile
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,squalene,0.5179322189920113,0.18170138888888893,0.9222529512608693,percentile
BLAST,_type_grouped,ap,pooled_oof,TPS_Type,tri,0.9508805182242224,0.8401980703569525,1.0,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,di,0.9431865451700212,0.904635044391629,0.9644992377598803,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,mono,0.9230223552315914,0.8523374775772607,0.9570321294321535,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,phytoene,0.9749773726140429,0.8331815560816954,1.0,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,sesq,0.9700904567942039,0.952869136855799,0.9824098691645514,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,sester,0.8842098269991063,0.7784447627864209,0.9551726547317226,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,squalene,0.999062859076725,0.9973593891324657,0.999913706945769,percentile
BLAST,_type_grouped,roc_auc,pooled_oof,TPS_Type,tri,0.9944542357422991,0.9199166666666667,1.0,percentile
CLEAN,2xFPP,ap,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
CLEAN,2xFPP,ap,pooled_oof,Kingdom,Bacteria,0.16786722474186755,0.0003519068074704602,1.0,percentile
CLEAN,2xFPP,ap,pooled_oof,Kingdom,Fungi,1.0,1.0,1.0,percentile
CLEAN,2xFPP,ap,pooled_oof,Kingdom,Plants,1.0,1.0,1.0,percentile
CLEAN,2xFPP,roc_auc,pooled_oof,Kingdom,Animals,1.0,1.0,1.0,percentile
