classifier,target_class,family,fold,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,IDS,temperature,1,9,0.00013265794658216094,0.00016997281476236145,216,0,0.00014880611566469093,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,IDS,temperature,1,10,0.00016997281476236145,0.9999984564418443,216,35,0.15889278853502725,0.16203703703703703,0.1188757481806865,0.21700972572416136
PLM_Domains,IDS,temperature,1,11,0.9999984564418443,1.0,1,1,0.9999984564418443,1.0,0.2065432914738929,1.0
PLM_Domains,IDS,temperature,2,1,1.9729551755027634e-18,2.3014732384218445e-06,210,0,1.0652899590674315e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,2,2.3014732384218445e-06,3.3623842967039547e-06,210,0,2.8184974102379357e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,3,3.3623842967039547e-06,4.1959960560020365e-06,210,0,3.794502004633189e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,4,4.1959960560020365e-06,5.11195698284806e-06,210,0,4.666294277777851e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,5,5.11195698284806e-06,6.0426389072398824e-06,210,0,5.5535997663085545e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,6,6.0426389072398824e-06,7.003416162706735e-06,210,0,6.527451709066795e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,7,7.003416162706735e-06,8.385694129467943e-06,210,0,7.687869221158637e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,8,8.385694129467943e-06,1.0112584864045341e-05,210,0,9.20536958486219e-06,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,9,1.0112584864045341e-05,1.4085569205950406e-05,210,0,1.1692195222264426e-05,0.0,0.0,0.017964699104383804
PLM_Domains,IDS,temperature,2,10,1.4085569205950406e-05,0.9999992284582924,209,23,0.12385681342765013,0.11004784688995216,0.07445729069506882,0.1597149763805405
PLM_Domains,IDS,temperature,2,11,0.9999992284582924,1.0,1,1,0.9999992284582924,1.0,0.2065432914738929,1.0
PLM_Domains,IDS,temperature,3,1,2.0228190038431567e-13,3.2552507681664384e-05,258,0,4.54405111263617e-06,0.0,0.0,0.01467146549669724
PLM_Domains,IDS,temperature,3,2,3.2552507681664384e-05,4.933437356671834e-05,258,0,4.27287326804022e-05,0.0,0.0,0.01467146549669724
PLM_Domains,IDS,temperature,3,3,4.933437356671834e-05,5.815960235350295e-05,257,0,5.397077167326711e-05,0.0,0.0,0.014727712144075176
PLM_Domains,IDS,temperature,3,4,5.815960235350295e-05,6.64659255282973e-05,258,0,6.26699472342847e-05,0.0,0.0,0.01467146549669724
PLM_Domains,IDS,temperature,3,5,6.64659255282973e-05,7.498186174084377e-05,257,0,7.028192163714514e-05,0.0,0.0,0.014727712144075176
PLM_Domains,IDS,temperature,3,6,7.498186174084377e-05,8.411066182945007e-05,258,0,7.955209270143103e-05,0.0,0.0,0.01467146549669724
PLM_Domains,IDS,temperature,3,7,8.411066182945007e-05,9.46517924356044e-05,258,0,8.927621889775506e-05,0.0,0.0,0.01467146549669724
PLM_Domains,IDS,temperature,3,8,9.46517924356044e-05,0.00010739481894706261,257,0,0.0001006457626389019,0.0,0.0,0.014727712144075176
PLM_Domains,IDS,temperature,3,9,0.00010739481894706261,0.00013474568099207816,258,0,0.00011914168560443621,0.0,0.0,0.01467146549669724
PLM_Domains,IDS,temperature,3,10,0.00013474568099207816,0.9999990072980385,257,45,0.16173984133672617,0.17509727626459143,0.13351273220466534,0.22625196790451965
PLM_Domains,IDS,temperature,3,11,0.9999990072980385,1.0,1,1,0.9999990072980385,1.0,0.2065432914738929,1.0
PLM_Domains,IDS,temperature,4,1,5.379147429417228e-18,5.239323331840997e-07,221,0,5.840352104467044e-08,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,2,5.239323331840997e-07,6.019348441974401e-05,221,0,3.452417426409505e-05,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,3,6.019348441974401e-05,8.365788151111579e-05,221,0,7.273741202803325e-05,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,4,8.365788151111579e-05,0.00010524214877932175,220,0,9.3698103956607e-05,0.0,0.0,0.017162136081943655
PLM_Domains,IDS,temperature,4,5,0.00010524214877932175,0.0001250890415437179,221,0,0.00011540383439155524,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,6,0.0001250890415437179,0.00014487760483915453,221,0,0.00013450548889160302,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,7,0.00014487760483915453,0.00016675619709010254,220,0,0.0001557054756382581,0.0,0.0,0.017162136081943655
PLM_Domains,IDS,temperature,4,8,0.00016675619709010254,0.0001933706072235813,221,0,0.0001796886690321664,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,9,0.0001933706072235813,0.0002376864211679858,221,0,0.00021212586485777512,0.0,0.0,0.01708580618533225
PLM_Domains,IDS,temperature,4,10,0.0002376864211679858,0.9999999969960915,220,22,0.09618177719646082,0.1,0.06696850781108599,0.14676120105446894
PLM_Domains,IDS,temperature,4,11,0.9999999969960915,1.0,1,1,0.9999999969960915,1.0,0.2065432914738929,1.0
PLM_Domains,FPP,logit_platt,0,1,8.050759788175191e-07,0.00029396145330931497,233,0,0.00020847210113876166,0.0,0.0,0.016220123491819005
PLM_Domains,FPP,logit_platt,0,2,0.00029396145330931497,0.00040031009265100955,232,0,0.0003440445937932155,0.0,0.0,0.016288898989830464
PLM_Domains,FPP,logit_platt,0,3,0.00040031009265100955,0.0004942843584297775,233,0,0.00044982674433222857,0.0,0.0,0.016220123491819005
PLM_Domains,FPP,logit_platt,0,4,0.0004942843584297775,0.0005991357965553243,232,0,0.0005440661416167197,0.0,0.0,0.016288898989830464
PLM_Domains,FPP,logit_platt,0,5,0.0005991357965553243,0.0006956458822503345,232,0,0.0006427030527303223,0.0,0.0,0.016288898989830464
PLM_Domains,FPP,logit_platt,0,6,0.0006956458822503345,0.0008380762328263628,233,0,0.0007640975115204609,0.0,0.0,0.016220123491819005
PLM_Domains,FPP,logit_platt,0,7,0.0008380762328263628,0.0010335397548771588,232,0,0.0009340393260538932,0.0,0.0,0.016288898989830464
PLM_Domains,FPP,logit_platt,0,8,0.0010335397548771588,0.0013592141834205677,233,0,0.0011839633924102197,0.0,0.0,0.016220123491819005
PLM_Domains,FPP,logit_platt,0,9,0.0013592141834205677,0.0023086483503148205,232,0,0.0017050091545518318,0.0,0.0,0.016288898989830464
PLM_Domains,FPP,logit_platt,0,10,0.0023086483503148205,0.9869107189013339,232,100,0.38561062842380583,0.43103448275862066,0.3689438316734964,0.4953718785319975
PLM_Domains,FPP,logit_platt,0,11,0.9869107189013339,1.0,1,1,0.9869107189013339,1.0,0.2065432914738929,1.0
PLM_Domains,FPP,logit_platt,1,1,2.8364215444396995e-13,0.0013990697823892243,217,0,0.0008628238941430911,0.0,0.0,0.017395273354295568
PLM_Domains,FPP,logit_platt,1,2,0.0013990697823892243,0.001713330768913192,216,0,0.001557923606098031,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,FPP,logit_platt,1,3,0.001713330768913192,0.001978648590528686,216,0,0.001846058071866265,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,FPP,logit_platt,1,4,0.001978648590528686,0.00224278534402694,217,0,0.0021125111579899315,0.0,0.0,0.017395273354295568
PLM_Domains,FPP,logit_platt,1,5,0.00224278534402694,0.002544735978837501,216,0,0.00239092447201311,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,FPP,logit_platt,1,6,0.002544735978837501,0.002937953962468514,216,0,0.0027292198472766336,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,FPP,logit_platt,1,7,0.002937953962468514,0.003428545079134478,217,0,0.0031545003724446946,0.0,0.0,0.017395273354295568
PLM_Domains,FPP,logit_platt,1,8,0.003428545079134478,0.004467913391569078,216,0,0.0038747739705582325,0.0,1.734723475976807e-18,0.017474399749637923
PLM_Domains,FPP,logit_platt,1,9,0.004467913391569078,0.3389785285028831,216,5,0.021390623704179088,0.023148148148148147,0.009926951496738449,0.053034744560786606
PLM_Domains,FPP,logit_platt,1,10,0.3389785285028831,0.9933271875425382,216,131,0.775759315480502,0.6064814814814815,0.5400148061494605,0.6692267568668204
PLM_Domains,FPP,logit_platt,1,11,0.9933271875425382,1.0,1,1,0.9933271875425382,1.0,0.2065432914738929,1.0
PLM_Domains,FPP,logit_platt,2,1,8.554174523926516e-07,0.00013709854464631475,210,0,0.00010122342892331966,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,2,0.00013709854464631475,0.0001854568778808776,210,0,0.00016039626247272895,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,3,0.0001854568778808776,0.00022662821219885738,210,0,0.0002069371077581186,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,4,0.00022662821219885738,0.0002678031726089797,210,0,0.0002461836760048175,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,5,0.0002678031726089797,0.00031468863477672156,210,0,0.00028937280895248565,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,6,0.00031468863477672156,0.00036459132683320497,210,0,0.00033832974978819454,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,7,0.00036459132683320497,0.0004306642473804434,210,0,0.0003969383905355417,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,8,0.0004306642473804434,0.0005470632969765455,210,0,0.0004849757379236632,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,9,0.0005470632969765455,0.0008687434039939215,210,0,0.000669776790243627,0.0,0.0,0.017964699104383804
PLM_Domains,FPP,logit_platt,2,10,0.0008687434039939215,0.9919601461700511,209,79,0.28120123980604544,0.37799043062200954,0.31501253315768535,0.44537265470032744
PLM_Domains,FPP,logit_platt,2,11,0.9919601461700511,1.0,1,1,0.9919601461700511,1.0,0.2065432914738929,1.0
PLM_Domains,FPP,logit_platt,3,1,3.4148362604830274e-08,0.00020452575199524198,258,0,0.0001520688326840594,0.0,0.0,0.01467146549669724
PLM_Domains,FPP,logit_platt,3,2,0.00020452575199524198,0.00026560520792824236,258,0,0.00023332922798098148,0.0,0.0,0.01467146549669724
PLM_Domains,FPP,logit_platt,3,3,0.00026560520792824236,0.0003297207733652787,257,0,0.00029818996764510285,0.0,0.0,0.014727712144075176
PLM_Domains,FPP,logit_platt,3,4,0.0003297207733652787,0.00038746776598270533,258,0,0.0003579530154280582,0.0,0.0,0.01467146549669724
PLM_Domains,FPP,logit_platt,3,5,0.00038746776598270533,0.0004517231564162346,257,0,0.00041926937261991436,0.0,0.0,0.014727712144075176
PLM_Domains,FPP,logit_platt,3,6,0.0004517231564162346,0.0005266575523538346,258,0,0.0004884896904111273,0.0,0.0,0.01467146549669724
PLM_Domains,FPP,logit_platt,3,7,0.0005266575523538346,0.0006116685207837875,258,0,0.0005689527909543235,0.0,0.0,0.01467146549669724
PLM_Domains,FPP,logit_platt,3,8,0.0006116685207837875,0.0007946814542536697,257,0,0.0006872142998273698,0.0,0.0,0.014727712144075176
PLM_Domains,FPP,logit_platt,3,9,0.0007946814542536697,0.0025440112670334436,258,2,0.0011875302259716232,0.007751937984496124,0.0021283969736853557,0.027819479910659993
