classifier,target_class,family,fold,n,n_pos,log_loss,brier,ece,mce,log_loss_mean,log_loss_sd,brier_mean,brier_sd,ece_mean,ece_sd,mce_mean,mce_sd
PLM_Domains,FPP,logit_platt,2,2100,80,0.04120652473414383,0.012834856953750197,0.009926070887815702,0.0967891908159641,,,,,,,,
PLM_Domains,FPP,logit_platt,3,2577,138,0.05703757919461552,0.0158763520335207,0.002675376481100137,0.01698552261288644,,,,,,,,
PLM_Domains,FPP,logit_platt,4,2208,141,0.042945210276560127,0.012203188163558355,0.005225252201592321,0.022965314707968032,,,,,,,,
PLM_Domains,FPP,logit_platt,__mean_sd__,11374,597,0.046125,0.013933,0.008394,0.070288,0.046125073596083574,0.012667191211358158,0.013932914668475299,0.004146221316471402,0.008393903640379162,0.006444835677637592,0.07028834329413078,0.06363983958131204
PLM_Domains,GPP,logit_platt,0,2325,28,0.02645714467209568,0.007806165948274433,0.005624912653014932,0.11768610109474076,,,,,,,,
PLM_Domains,GPP,logit_platt,1,2164,89,0.07473350796694264,0.02517722865011688,0.009136295912548517,0.08057105850320212,,,,,,,,
PLM_Domains,GPP,logit_platt,2,2100,26,0.03257503050903057,0.00901702422751544,0.0032569644380849305,0.03734630235615499,,,,,,,,
PLM_Domains,GPP,logit_platt,3,2577,73,0.030087604003345647,0.008538217588337187,0.003760959314919809,0.06451366191859653,,,,,,,,
PLM_Domains,GPP,logit_platt,4,2208,82,0.05135185610253576,0.014969798893752781,0.003938445795035395,0.08787223798236221,,,,,,,,
PLM_Domains,GPP,logit_platt,__mean_sd__,11374,298,0.043041,0.013102,0.005144,0.077598,0.043041028650790056,0.020160832281658034,0.013101687061599346,0.007329065670954589,0.0051435156227207166,0.002402954855469707,0.07759787237101132,0.02963466702412214
PLM_Domains,GGPP,temperature,0,2325,36,0.022829911633200944,0.006208072352739586,0.00280097635444319,0.01797982458896008,,,,,,,,
PLM_Domains,GGPP,temperature,1,2164,55,0.0290523141378915,0.008104518916047292,0.0034329376020704517,0.01066621983857527,,,,,,,,
PLM_Domains,GGPP,temperature,2,2100,50,0.04436292482821626,0.014050685788886803,0.0033911295718087623,0.03159202171024117,,,,,,,,
PLM_Domains,GGPP,temperature,3,2577,37,0.03739614001824121,0.009638407563723235,0.002964257021509875,0.02143720762108378,,,,,,,,
PLM_Domains,GGPP,temperature,4,2208,52,0.027473079031132417,0.007722710804180512,0.00753488286980828,0.04807462565455464,,,,,,,,
PLM_Domains,GGPP,temperature,__mean_sd__,11374,230,0.032223,0.009145,0.004025,0.025950,0.03222287392973647,0.008587552904011132,0.009144879085115486,0.003001676842115671,0.004024836683928112,0.001980846837875699,0.025949979882682987,0.014481146333178327
PLM_Domains,EDSQ,temperature,0,2325,3,0.00020012275197337753,4.982858559030105e-07,0.0001652553084369243,0.007962377021992317,,,,,,,,
PLM_Domains,EDSQ,temperature,1,2164,45,0.00032178163388542455,4.172392674212815e-06,0.00019386390304172298,0.00072964453254315,,,,,,,,
PLM_Domains,EDSQ,temperature,2,2100,4,0.0015396589399746816,0.000436899775530745,0.0003830158523583187,0.005360576992358257,,,,,,,,
PLM_Domains,EDSQ,temperature,3,2577,2,0.00025861665510961025,1.6493647822987476e-06,0.00022632969067640238,0.02351419542775468,,,,,,,,
PLM_Domains,EDSQ,temperature,4,2208,34,0.005917116332425174,0.0010168679498016712,0.0012233228373020153,0.006065269729874423,,,,,,,,
PLM_Domains,EDSQ,temperature,__mean_sd__,11374,88,0.001647,0.000292,0.000438,0.008726,0.0016474592626736537,0.002450646870834008,0.00029201755372896616,0.00044680839302687356,0.00043835751836307675,0.00044680840319035966,0.008726412740904566,0.00868362109898406
PLM_Domains,CPP,temperature,0,2325,5,0.013514236736489502,0.00349515109391563,0.0011031403017070587,0.8237952144451676,,,,,,,,
PLM_Domains,CPP,temperature,1,2164,35,0.014683579314002984,0.0036647554242746575,0.002250423282584163,0.04577069160663949,,,,,,,,
PLM_Domains,CPP,temperature,2,2100,9,0.01978289105534961,0.005291536126198007,0.0024645949129397373,0.981653658321423,,,,,,,,
PLM_Domains,CPP,temperature,3,2577,22,0.010620651756535099,0.0032030153432282705,0.004312542598976669,0.028834127879509563,,,,,,,,
PLM_Domains,CPP,temperature,4,2208,23,0.011804426555840717,0.003600889021922287,0.005258935397369513,0.038510638731505065,,,,,,,,
PLM_Domains,CPP,temperature,__mean_sd__,11374,94,0.014081,0.003851,0.003078,0.383713,0.014081157083643584,0.0035479811344950388,0.003851069401907771,0.0008244542754928194,0.003077927298715428,0.0016764392668496724,0.38371286619684897,0.47710430574713397
PLM_Domains,GFPP,temperature,0,2325,17,0.009796281246290237,0.0024345206806633173,0.0026476880155417064,0.0675753467315594,,,,,,,,
