classifier,target_class,family,bin_idx,edge_lo,edge_hi,n,n_pos,p_pred_mean,p_obs,wilson_lo,wilson_hi
PLM_Domains,GPP,logit_platt,7,0.0010097774944988968,0.0013184947058642392,1138,0,0.0011509858858866928,0.0,0.0,0.0033643895965955344
PLM_Domains,GPP,logit_platt,8,0.0013184947058642392,0.0018421501507669363,1137,0,0.0015557906278902394,0.0,0.0,0.0033673386384227223
PLM_Domains,GPP,logit_platt,9,0.0018421501507669363,0.0038885006414913436,1137,1,0.002426659687262911,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM_Domains,GPP,logit_platt,10,0.0038885006414913436,0.962653697643845,1137,296,0.2505205344510757,0.26033421284080915,0.23566445376366804,0.28661804364876864
PLM_Domains,GPP,logit_platt,11,0.962653697643845,1.0,1,1,0.962653697643845,1.0,0.2065432914738929,1.0
PLM_Domains,GGPP,temperature,1,8.400951029457453e-15,0.00021201883687834144,1138,0,0.00012582038609294764,0.0,0.0,0.0033643895965955344
PLM_Domains,GGPP,temperature,2,0.00021201883687834144,0.0003480439094555176,1137,1,0.00028200831933939454,0.0008795074758135445,0.0001552675461385833,0.00496516284489905
PLM_Domains,GGPP,temperature,3,0.0003480439094555176,0.0005031133032305651,1137,0,0.00041951170890893103,0.0,0.0,0.0033673386384227223
PLM_Domains,GGPP,temperature,4,0.0005031133032305651,0.0007384079584803757,1138,1,0.0006096688110558681,0.0008787346221441124,0.00015513109235213611,0.004960814937289802
PLM_Domains,GGPP,temperature,5,0.0007384079584803757,0.001100202306426448,1137,0,0.0009042737174970374,0.0,0.0,0.0033673386384227223
PLM_Domains,GGPP,temperature,6,0.001100202306426448,0.0016335946142823023,1137,0,0.0013458895355021718,0.0,0.0,0.0033673386384227223
PLM_Domains,GGPP,temperature,7,0.0016335946142823023,0.002316189725223154,1138,0,0.0019608412079387414,0.0,0.0,0.0033643895965955344
PLM_Domains,GGPP,temperature,8,0.002316189725223154,0.0031543322453825373,1137,0,0.002703631743889518,0.0,0.0,0.0033673386384227223
PLM_Domains,GGPP,temperature,9,0.0031543322453825373,0.0050929648266246534,1137,2,0.003953052132578353,0.001759014951627089,0.0004825078564778145,0.006391014287174731
PLM_Domains,GGPP,temperature,10,0.0050929648266246534,0.9992961133832231,1137,225,0.20716554580876695,0.19788918205804748,0.17576498345666738,0.22204799952011042
PLM_Domains,GGPP,temperature,11,0.9992961133832231,1.0,1,1,0.9992961133832231,1.0,0.2065432914738929,1.0
PLM_Domains,EDSQ,temperature,1,3.2121319867001934e-11,8.58922863061262e-06,2275,0,1.6102313560981617e-06,0.0,0.0,0.0016857687695362414
PLM_Domains,EDSQ,temperature,2,8.58922863061262e-06,3.181600421148762e-05,2268,0,1.757834501067453e-05,0.0,0.0,0.0016909629615022453
PLM_Domains,EDSQ,temperature,3,3.181600421148762e-05,8.588551207285737e-05,2281,0,5.448461827409787e-05,0.0,0.0,0.0016813419363512988
PLM_Domains,EDSQ,temperature,4,8.588551207285737e-05,0.00020155457842452448,2275,0,0.00013939718474315893,0.0,0.0,0.0016857687695362414
PLM_Domains,EDSQ,temperature,5,0.00020155457842452448,0.9999841661953092,2274,87,0.03919653103258959,0.03825857519788918,0.031121418813810746,0.04695319357363533
PLM_Domains,EDSQ,temperature,6,0.9999841661953092,1.0,1,1,0.9999841661953092,1.0,0.2065432914738929,1.0
PLM_Domains,CPP,temperature,1,2.8497813535975768e-11,0.00013165731390998145,1896,0,7.343134999353172e-05,0.0,0.0,0.0020220633130677845
PLM_Domains,CPP,temperature,2,0.00013165731390998145,0.0002889102204125234,1895,0,0.00020148925387427854,0.0,0.0,0.0020231282061652744
PLM_Domains,CPP,temperature,3,0.0002889102204125234,0.0005567838837675942,1896,0,0.0004109563463791487,0.0,0.0,0.0020220633130677845
PLM_Domains,CPP,temperature,4,0.0005567838837675942,0.0010289153698847945,1895,0,0.000773478265601756,0.0,0.0,0.0020231282061652744
PLM_Domains,CPP,temperature,5,0.0010289153698847945,0.0018644991577679245,1896,0,0.0013969541437252268,0.0,0.0,0.0020220633130677845
PLM_Domains,CPP,temperature,6,0.0018644991577679245,0.981653658321423,1895,94,0.05247670658650117,0.049604221635883905,0.04070686570431099,0.06032399437374923
PLM_Domains,CPP,temperature,7,0.981653658321423,1.0,1,0,0.981653658321423,0.0,0.0,0.7934567085261071
PLM_Domains,GFPP,temperature,1,4.435192201346683e-12,0.0005572987796550308,2844,6,0.00016132754182932892,0.002109704641350211,0.0009672309060245866,0.004595438028933032
PLM_Domains,GFPP,temperature,2,0.0005572987796550308,0.0011543619726978303,2843,0,0.0008677742328350981,0.0,0.0,0.0013494252718521465
PLM_Domains,GFPP,temperature,3,0.0011543619726978303,0.0019981400816759154,2843,0,0.0015232606706333815,0.0,0.0,0.0013494252718521465
PLM_Domains,GFPP,temperature,4,0.0019981400816759154,0.9811722272092668,2843,54,0.027665893534928744,0.018994020400984874,0.014586870014650817,0.02469933403688475
