classifier,target_class,family,metric,point,ci_low,ci_high,n_resamples_used,ci
PLM_Domains,GFPP,temperature,log_loss,0.01716757339442966,0.007068003633911294,0.03589746407154184,1000,0.95
PLM_Domains,GFPP,temperature,brier,0.002796014489055137,0.0016719116628916206,0.0042547992378659865,1000,0.95
PLM_Domains,GFPP,temperature,ece,0.0032540759446273455,0.000877112474863008,0.007266317303934921,1000,0.95
PLM_Domains,GFPP,temperature,mce,0.01882777279073322,0.01136855743432696,0.9802596823270106,1000,0.95
PLM_Domains,2xFPP,temperature,log_loss,0.0016431713709221792,0.000318395939153701,0.0046496984662090235,974,0.95
PLM_Domains,2xFPP,temperature,brier,0.00042708198157914777,7.634755703558748e-05,0.000924876923403757,974,0.95
PLM_Domains,2xFPP,temperature,ece,0.0004792619371584077,3.0014811822476692e-05,0.0011544226681584782,974,0.95
PLM_Domains,2xFPP,temperature,mce,0.04461130376568734,0.001408335658663809,0.2807586539126415,974,0.95
PLM_Domains,2xGGPP,temperature,log_loss,0.0030599647473453923,0.0012578087399022712,0.005929871951080223,975,0.95
PLM_Domains,2xGGPP,temperature,brier,0.0008501905893492051,0.0002430198894140489,0.0018614569516456352,975,0.95
PLM_Domains,2xGGPP,temperature,ece,0.000655648147965623,7.47829569747743e-05,0.0017956003425971894,975,0.95
PLM_Domains,2xGGPP,temperature,mce,0.33766864365304416,0.29246751250120206,0.6896247340867815,975,0.95
PLM,TPS,temperature,log_loss,0.008589423782686853,0.004188108510437088,0.014626971151592744,1000,0.95
PLM,TPS,temperature,brier,0.0017912213566542738,0.0007096037365672878,0.0033525128291829196,1000,0.95
PLM,TPS,temperature,ece,0.0007099500409337219,0.00022465522569491096,0.0022290104932442853,1000,0.95
PLM,TPS,temperature,mce,0.004858947393726387,0.0009541210911753953,0.01660740105772653,1000,0.95
PLM,IDS,logit_platt,log_loss,0.004137189849497287,0.001802376451301195,0.008918520662618782,1000,0.95
PLM,IDS,logit_platt,brier,0.0009376444750187018,0.00034974186991052473,0.00225407992300806,1000,0.95
PLM,IDS,logit_platt,ece,0.00045223197377741183,6.686327342722222e-05,0.0020864980123340084,1000,0.95
PLM,IDS,logit_platt,mce,0.00340327564190962,0.00036654587680057406,0.019230009232632513,1000,0.95
PLM,FPP,logit_platt,log_loss,0.04393692870423557,0.029883987040029956,0.06187420419855791,1000,0.95
PLM,FPP,logit_platt,brier,0.012618713142539541,0.008191000707175258,0.018274889253491747,1000,0.95
PLM,FPP,logit_platt,ece,0.0011496769283756104,0.000815881496692641,0.004877676663282294,1000,0.95
PLM,FPP,logit_platt,mce,0.004480378745371351,0.0019375203061709734,0.034760937968661816,1000,0.95
PLM,GPP,logit_platt,log_loss,0.04539443426704022,0.031620928047489234,0.06681235310624596,1000,0.95
PLM,GPP,logit_platt,brier,0.013347014948786555,0.008355640341209674,0.021640075518402045,1000,0.95
PLM,GPP,logit_platt,ece,0.002943514414016338,0.001482335258721981,0.007006306068964535,1000,0.95
PLM,GPP,logit_platt,mce,0.025251125731670765,0.013309042404510824,0.07593007159769649,1000,0.95
PLM,GGPP,temperature,log_loss,0.03194934046590142,0.025663157688614574,0.039719996909373535,1000,0.95
PLM,GGPP,temperature,brier,0.008886863367918683,0.007059988475012768,0.011038527364683625,1000,0.95
PLM,GGPP,temperature,ece,0.004714868924966347,0.0020322151223209667,0.007225669235537696,1000,0.95
PLM,GGPP,temperature,mce,0.02993988159802105,0.005194780219589359,0.05688103225912148,1000,0.95
PLM,EDSQ,temperature,log_loss,0.0017941298661850466,4.7886589745410074e-05,0.005259209268809178,995,0.95
