Track,Model,TPS_Type,AP_mean,AP_sem
A,PlmRF,di-int,0.782873350167329,0.07287335016732897
A,PlmRF,sester,0.8089265672599006,0.07980225132736271
A,PlmRF,di,0.8702727379908062,0.06598031495775612
A,PlmRF,tri,0.7850040669251637,0.1290180382532898
A,PlmRF,macro_avg,0.8663930729396386,0.03696029766127383
C,Blastp,sesq,0.9870899276745092,0.006109860623315784
C,Blastp,di,0.9367998725208142,0.023959463285986193
C,Blastp,mono,0.9233482316175602,0.04471431383757745
C,Blastp,di-int,0.8694444444444445,0.06205085528802409
C,Blastp,tri,0.8674961406904442,0.0626912361360466
C,Blastp,sester,0.8506296659520443,0.07141394521987361
C,Blastp,macro_avg,0.9058013804833028,0.02137729533549178
C,CLEAN,sesq,0.8593863032412294,0.028944008034579607
C,CLEAN,di,0.6770533807973662,0.08539823611164013
C,CLEAN,mono,0.7625327910704627,0.05377748015247939
C,CLEAN,di-int,0.6526119749293524,0.05450849448011707
C,CLEAN,tri,0.5708486135249312,0.1180179375283562
C,CLEAN,sester,0.4817317838068826,0.0930417566877801
C,CLEAN,macro_avg,0.6673608078950374,0.05477703580086105
C,CLEANEc,sesq,0.8480373818848935,0.036842930283784596
C,CLEANEc,di,0.6674309884771686,0.06595249560352918
C,CLEANEc,mono,0.7513655929277584,0.054125223517616096
C,CLEANEc,di-int,0.6568117731378662,0.05531158717981999
C,CLEANEc,tri,0.596652545547327,0.12940013356794905
C,CLEANEc,sester,0.07565744410839594,0.0434841071476935
C,CLEANEc,macro_avg,0.5993259543472349,0.11062733186299568
C,CLEANProp,sesq,0.7717655534199979,0.03808189445049206
C,CLEANProp,di,0.49151075839684866,0.06469307656548741
C,CLEANProp,mono,0.6042814221389572,0.06325503305504995
C,CLEANProp,di-int,0.3212108013937282,0.0756247534795124
C,CLEANProp,tri,0.3737117088887674,0.12026982694116654
C,CLEANProp,sester,0.24727564102564104,0.0460159197111598
C,CLEANProp,macro_avg,0.4682926475439901,0.0796983840661045
C,Foldseek,sesq,0.9669652350108475,0.014931879936195895
C,Foldseek,di,0.8980192079194692,0.022820133125255656
C,Foldseek,mono,0.885846491840082,0.04983077756871179
C,Foldseek,di-int,0.8478535353535354,0.05618686868686868
C,Foldseek,tri,0.8000872559202044,0.04001520136460331
C,Foldseek,sester,0.8379548407772192,0.06174724013617774
C,Foldseek,macro_avg,0.8727877611368929,0.02366218104526038
C,HMM,sesq,0.9852761183385862,0.005823345474061804
C,HMM,di,0.9606928430515538,0.016073568490888843
C,HMM,mono,0.9732664088121801,0.013353968269677835
C,HMM,di-int,0.8087535916478781,0.0970470377417268
C,HMM,tri,0.886212193330095,0.08607652434061736
C,HMM,sester,0.910533090646727,0.05166716444224723
C,HMM,macro_avg,0.92078904097117,0.0272992402325936
C,PlmRF,sesq,0.9957056310359494,0.002162121546982233
C,PlmRF,di,0.9959904103851549,0.0028426065252948824
C,PlmRF,mono,0.994253779498182,0.0030950445232222506
C,PlmRF,di-int,0.944954648526077,0.03360540201233291
C,PlmRF,tri,0.8832142857142857,0.09114941157537253
C,PlmRF,sester,1.0,0.0
C,PlmRF,macro_avg,0.9690197925266082,0.019129202556371048
C,PlmDomainsRF,sesq,0.998134272720495,0.0018657272795049584
C,PlmDomainsRF,di,0.9997446808510638,0.0002553191489361728
C,PlmDomainsRF,mono,1.0,0.0
C,PlmDomainsRF,di-int,0.9955357142857143,0.004464285714285698
C,PlmDomainsRF,tri,1.0,0.0
C,PlmDomainsRF,sester,1.0,0.0
C,PlmDomainsRF,macro_avg,0.9989024446428788,0.000735939456667598
B,Blastp,mono,0.21586901701260217,0.06570961422271664
B,Blastp,sesq,0.33382055923638676,0.04831128435900639
B,Blastp,di,0.2023748183900053,0.045117146616519534
B,Blastp,tri,0.10468943887789024,0.046980306864250636
B,Blastp,sester,0.01840883777503496,0.006717820384282984
B,Blastp,macro_avg,0.1750325342583839,0.053435937845939495
B,CLEAN,mono,0.3591041120425623,0.13975662348946755
B,CLEAN,sesq,0.45168972784596717,0.11513249847340418
B,CLEAN,di,0.33955040765903766,0.11044294074366365
B,CLEAN,tri,0.3491157588154943,0.13929498865649392
B,CLEAN,sester,0.02569009483403643,0.0078169297927845
B,CLEAN,macro_avg,0.30503002023941955,0.07266329219711155
B,CLEANEc,mono,0.3552044183874588,0.14046407973724143
B,CLEANEc,sesq,0.45278140532658695,0.11389073434047244
B,CLEANEc,di,0.33808102013571684,0.10996863146113642
B,CLEANEc,tri,0.365790135770707,0.14543017120563423
B,CLEANEc,sester,0.013019904803559199,0.0030087755551858626
B,CLEANEc,macro_avg,0.3049753768848058,0.07563134100543184
B,CLEANProp,mono,0.2213196563939123,0.06436325095916223
B,CLEANProp,sesq,0.33809033098648944,0.054650046828270196
