track,model,tps_type,ap_mean,ap_std,n_folds,mean_n_pos,ap_sem
B,CLEANProp,tri,0.08971693678802643,0.10336953764979338,5,22.8,0.04622826259753237
B,Foldseek,di,0.20563553824554903,0.09552855533346262,5,53.4,0.0427216687035945
B,Foldseek,hemi,0.009900990099009901,,1,3.0,
B,Foldseek,mono,0.2064894697146328,0.1254419906824123,5,53.8,0.05609936367975382
B,Foldseek,pt,0.04988131663462195,0.05252044220373917,5,34.0,0.02348785579518193
B,Foldseek,sesq,0.3178699354965705,0.10915014769824628,5,102.0,0.04881343000148418
B,Foldseek,sester,0.018323400176587807,0.01163963502179844,3,5.666666666666667,0.006720146413104326
B,Foldseek,tetra,0.08053691275167785,,1,12.0,
B,Foldseek,tri,0.0835196088081546,0.1066037448526865,5,22.8,0.04767464402933006
B,HMM,di,0.2609682712791305,0.15916401888518325,5,53.4,0.071180313159866
B,HMM,hemi,0.031578947368421054,,1,3.0,
B,HMM,mono,0.32098320699711513,0.20134299172428213,5,53.8,0.09004332325773448
B,HMM,pt,0.10734736071783349,0.08189863874125054,5,34.0,0.0366261846980268
B,HMM,sesq,0.39540002506223454,0.19356550303843878,5,102.0,0.08656512457857823
B,HMM,sester,0.021358754557362594,0.0071560903446715625,3,5.666666666666667,0.004131570686841409
B,HMM,tetra,0.037069530447136394,,1,12.0,
B,HMM,tri,0.06626692528996155,0.10545263436897341,5,22.8,0.047159851771091034
B,PlmDomainsRF,di,0.577294915963052,0.19208390712127787,5,53.4,0.08590253474138665
B,PlmDomainsRF,hemi,0.375,,1,3.0,
B,PlmDomainsRF,mono,0.5932161557038663,0.166703034680788,5,53.8,0.07455186352034938
B,PlmDomainsRF,pt,0.1135145773015805,0.085305294003973,5,34.0,0.03814968724669777
B,PlmDomainsRF,sesq,0.7859464860028483,0.12773698807401454,5,102.0,0.057125717714915286
B,PlmDomainsRF,sester,0.1977313057965436,0.16027010697605643,3,5.666666666666667,0.09253198940567631
B,PlmDomainsRF,tetra,0.09806580729310516,,1,12.0,
B,PlmDomainsRF,tri,0.1674884689554876,0.24196833357414735,5,22.8,0.10821152845482762
B,PlmRF,di,0.3885797406801288,0.1487963684355819,5,53.4,0.06654375892541302
B,PlmRF,hemi,0.75,,1,3.0,
B,PlmRF,mono,0.5736564289994492,0.1545170716092001,5,53.8,0.06910213516047485
B,PlmRF,pt,0.11970460072922531,0.08722150851776767,5,34.0,0.03900664442916108
B,PlmRF,sesq,0.7644827556532231,0.1414289342636931,5,102.0,0.06324894219979338
B,PlmRF,sester,0.09180411542676749,0.03145362579286167,3,5.666666666666667,0.018159759318498444
B,PlmRF,tetra,0.09148849081255125,,1,12.0,
B,PlmRF,tri,0.15891233477414107,0.20450430234572914,5,22.8,0.09145710434724401
C,Blastp,di,0.9367998725208142,0.05357498861187562,5,25.6,0.023959463285986193
C,Blastp,di-int,0.8694444444444445,0.12410171057604819,4,11.0,0.06205085528802409
C,Blastp,fpps,0.0196704354402215,0.025702166309455713,2,6.5,0.018174176088600554
C,Blastp,gfpps,0.2510055304172951,,1,4.0,
C,Blastp,ggpps,0.39161020869884583,0.34130370212157957,5,11.8,0.1526356557832382
C,Blastp,gpps,0.0065065065065065065,,1,13.0,
C,Blastp,hemi,0.8,,1,4.0,
C,Blastp,mono,0.9233482316175602,0.09998424530808267,5,41.2,0.04471431383757745
C,Blastp,sesq,0.9870899276745092,0.013662063686783356,5,86.6,0.006109860623315796
C,Blastp,sester,0.8506296659520443,0.14282789043974717,4,7.5,0.07141394521987358
C,Blastp,tri,0.8674961406904442,0.1253824722720932,4,23.75,0.0626912361360466
C,CLEAN,di,0.6770533807973662,0.19095626110420463,5,25.6,0.08539823611164012
C,CLEAN,di-int,0.6526119749293524,0.10901698896023414,4,11.0,0.05450849448011707
C,CLEAN,fpps,0.44885360010360015,0.378835525629754,2,6.5,0.26787716912716913
C,CLEAN,gfpps,0.7208333333333333,,1,4.0,
C,CLEAN,ggpps,0.6267267583040753,0.2927913825764413,5,11.8,0.13094028693341403
C,CLEAN,gpps,0.7954953391188209,,1,13.0,
C,CLEAN,hemi,0.8333333333333334,,1,4.0,
C,CLEAN,mono,0.7625327910704627,0.1202501012795897,5,41.2,0.0537774801524794
C,CLEAN,sesq,0.8593863032412296,0.0647207695066201,5,86.6,0.028944008034579614
C,CLEAN,sester,0.4817317838068826,0.1860835133755602,4,7.5,0.0930417566877801
C,CLEAN,tri,0.5708486135249312,0.23603587505671236,4,23.75,0.11801793752835618
C,CLEANEc,di,0.6674309884771685,0.14747426345524722,5,25.6,0.06595249560352916
C,CLEANEc,di-int,0.6568117731378662,0.11062317435963999,4,11.0,0.055311587179819995
C,CLEANEc,fpps,0.007170435440221501,0.008024496779792023,2,6.5,0.0056741760886005535
C,CLEANEc,gfpps,0.002011060834590246,,1,4.0,
C,CLEANEc,ggpps,0.09547672513041293,0.19157751894943204,5,11.8,0.08567607106633682
C,CLEANEc,gpps,0.0065065065065065065,,1,13.0,
C,CLEANEc,hemi,0.8333333333333334,,1,4.0,
C,CLEANEc,mono,0.7513655929277584,0.12102767908275984,5,41.2,0.054125223517616075
C,CLEANEc,sesq,0.8480373818848937,0.082383296604828,5,86.6,0.03684293028378461
C,CLEANEc,sester,0.07565744410839594,0.08696821429538698,4,7.5,0.04348410714769349
C,CLEANEc,tri,0.596652545547327,0.2588002671358981,4,23.75,0.12940013356794905
