track,model,tps_type,fold,n_pos,n_neg,ap,pos_mean,pos_median,pos_min,pos_max,pos_frac_zero,neg_mean,neg_median,neg_max,neg_frac_nonzero
A,CLEAN,sester,3,6,1985,0.4853174603174603,0.9854666666666666,0.99285,0.9551,0.9984,0.0,0.005699798488664988,0.0,0.9989,0.014105793450881612
A,CLEAN,tri,3,6,1985,0.528968253968254,0.9740666666666667,0.9962,0.9203,0.9987,0.0,0.005699798488664988,0.0,0.9989,0.014105793450881612
A,CLEAN,negative,3,3,1985,0.4888888888888888,0.993,0.9979,0.9825,0.9986,0.0,0.005699798488664988,0.0,0.9989,0.014105793450881612
A,CLEAN,sesq,4,78,1987,0.896577696391982,0.8964000000000001,0.9969,0.0,0.9989,0.01282051282051282,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEAN,tri,4,111,1987,0.8905121786599404,0.9084045045045045,0.997,0.0,0.9989,0.04504504504504504,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEAN,di-int,4,5,1987,0.5496503496503498,0.99176,0.9979,0.9746,0.9988,0.0,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEAN,di,4,7,1987,0.38187405353314846,0.7801714285714285,0.9952,0.0,0.9979,0.14285714285714285,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEAN,sester,4,3,1987,0.3888888888888889,0.9974,0.998,0.996,0.9982,0.0,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEAN,ggpps,4,12,1987,0.7455322240538959,0.9968833333333332,0.9984500000000001,0.9859,0.9987,0.0,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEAN,mono,4,20,1987,0.6708651404781436,0.9009450000000001,0.9964500000000001,0.0269,0.9986,0.0,0.005377654755913437,0.0,0.9987,0.013085052843482638
A,CLEANEc,sesq,0,144,2002,0.9311547783777695,0.9441854166666668,0.9976,0.0,0.9989,0.013888888888888888,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,mono,0,15,2002,0.5930724382829645,0.9249533333333334,0.9958,0.1309,0.9989,0.0,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,di-int,0,41,2002,0.8282493012261253,0.9921780487804878,0.9967,0.8715,0.9989,0.0,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,ggpps,0,21,2002,0.014215311793166464,0.04596190476190476,0.0,0.0,0.9652,0.9523809523809523,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,sester,0,9,2002,0.0044753853804077575,0.0,0.0,0.0,0.0,1.0,0.005809040959040959,0.0,0.9987,0.011988011988011988
A,CLEANEc,di,0,56,2002,0.8054078303524712,0.8555160714285713,0.9943500000000001,0.0,0.9989,0.017857142857142856,0.005809040959040959,0.0,0.9987,0.011988011988011988
