classifier,class,tier,target_type,target_value,lower_bound,achieved_precision,recall,n_above_lower,reachable
PLM,CPP,Very High Confidence,precision,0.99,0.83,1.0,0.0851063829787234,8,True
PLM,CPP,High Confidence,precision,0.95,0.83,1.0,0.0851063829787234,8,True
PLM,CPP,Mid Confidence,precision,0.8,0.6944444444444444,0.8,0.1702127659574468,20,True
PLM,CPP,Low Confidence,precision,0.5,0.06818181818181818,0.5029239766081871,0.9148936170212766,171,True
PLM,CPP,Very Low Confidence,recall,1.0,0.005050505050505051,0.04939569101418812,1.0,1903,True
PLM,GFPP,Very High Confidence,precision,0.99,0.74,1.0,0.08196721311475409,5,True
PLM,GFPP,High Confidence,precision,0.95,0.74,1.0,0.08196721311475409,5,True
PLM,GFPP,Mid Confidence,precision,0.8,0.7375328083989501,0.8333333333333334,0.08196721311475409,6,True
PLM,GFPP,Low Confidence,precision,0.5,0.07086614173228346,0.5047619047619047,0.8688524590163934,105,True
PLM,GFPP,Very Low Confidence,recall,1.0,0.0,0.005363108844733603,1.0,11374,True
PLM,2xFPP,Very High Confidence,precision,0.99,0.445,1.0,0.3684210526315789,7,True
PLM,2xFPP,High Confidence,precision,0.95,0.445,1.0,0.3684210526315789,7,True
PLM,2xFPP,Mid Confidence,precision,0.8,0.11513157894736842,0.8095238095238095,0.8947368421052632,21,True
PLM,2xFPP,Low Confidence,precision,0.5,0.023622047244094488,0.5,1.0,38,True
PLM,2xFPP,Very Low Confidence,recall,1.0,0.0375,0.7307692307692307,1.0,26,True
PLM,2xGGPP,Very High Confidence,precision,0.99,0.275,1.0,0.35294117647058826,6,True
PLM,2xGGPP,High Confidence,precision,0.95,0.275,1.0,0.35294117647058826,6,True
PLM,2xGGPP,Mid Confidence,precision,0.8,0.195,0.8571428571428571,0.35294117647058826,7,True
PLM,2xGGPP,Low Confidence,precision,0.5,0.04040404040404041,0.5,0.9411764705882353,32,True
PLM,2xGGPP,Very Low Confidence,recall,1.0,0.007575757575757576,0.05448717948717949,1.0,312,True
